armen,0
praed,0
eddard-stark,0
gormond-goodbrother,0
walgrave,0
irri,0
rosey,0
benjen-stark,0
emmond,0
dunstan-drumm,0
viserys-targaryen,0
quill,0
desmond,0
jeyne-poole,0
alys-arryn,0
rhaegel-targaryen,0
baelor-blacktyde,0
rakharo,0
myrcella-baratheon,0
asha-greyjoy,0
elys-waynwood,0
aerys-i-targaryen,0
amerei-frey,0
biter,0
oznak-zo-pahl,0
aggar,0
chiswyck,0
andrey-dalt,0
missandei,0
arianne-martell,0
gynir,0
mero,0
dobber,0
harra,0
gelmarr,0
timoth,0
kraznys-mo-nakloz,0
jaqen-hghar,0
gariss,0
jorah-mormont,0
ricasso,0
murch,0
jhogo,0
koss,0
morra,0
sour-alyn,0
mellei,0
lommy-greenhands,0
jhiqui,0
franklyn-fowler,0
bellegere-otherys,0
doreah,0
skinner,0
waif,0
drogo,0
alayaya,0
cedra,0
anya-waynwood,0
kindly-man,0
dancy,0
eroeh,0
haggo,0
brusco,0
alebelly,0
horton-redfort,0
yorko-terys,0
illyrio-mopatis,0
harrold-hardyng,0
alester-florent,0
umma,0
mirri-maz-duur,0
gilwood-hunter,0
lamprey,0
benedar-belmore,0
ternesio-terys,0
qotho,0
davos-seaworth,0
areo-hotah,0
axell-florent,0
quaro,0
talea,0
lynesse-hightower,0
meralyn,0
caleotte,0
cortnay-penrose,0
pono,0
denyo-terys,0
salladhor-saan,0
sigfryd-harlaw,0
marlon-manderly,0
aurane-waters,0
brea,0
pyat-pree,0
leona-woolfield,0
waymar-royce,0
balman-byrch,0
quaithe,0
blue-bard,0
godric-borrell,0
xaro-xhoan-daxos,0
jaremy-rykker,0
ghael,0
garth-(wolfs-den),0
poxy-tym,0
bonifer-hasty,0
grey-worm,0
meera-reed,0
pylos,0
eustace-brune,0
genna-lannister,0
jon-umber-(greatjon),0
groleo,0
porridge,0
cedric-payne,0
khorane-sathmantes,0
daeron-ii-targaryen,0
jojen-reed,0
guncer-sunglass,0
torbert,0
hodor,0
yurkhaz-zo-yunzak,0
coldhands,0
edric-storm,0
victarion-greyjoy,0
daemon-sand,0
devan-seaworth,0
ralf-stonehouse,0
walder-frey-(son-of-merrett),0
tattered-prince,0
walder-frey-(son-of-jammos),0
monford-velaryon,0
symon-stripeback,0
garrett-paege,0
gerold-grafton,0
matthos-seaworth,0
spotted-cat,0
reek,0
hali,0
imry-florent,0
skahaz-mo-kandaq,0
gormon-tyrell,0
reznak-mo-reznak,0
gyles-grafton,0
allar-deem,0
